title,bag_of_words
Stand Up Guys (2012),comedy crime female nudity erectile dysfunction 21st century grand theft auto  
Le grand soir (2012),comedy public nudity male frontal nudity salesman punk  
Kukuli (1961),drama nan  
Chouga (Shuga) (2007),drama fishing suicide song paris france  
Udaan (2010),drama engineering college authoritarian boarding school dark hero  
"Life Apart: Hasidism in America, A (1997)",documentary hasidim orthodox jew religion judaism  
No (2012),drama campaign chile political reform 1980s  
Finding Joy (2013),comedy nan  
"Haunting in Connecticut 2: Ghosts of Georgia, The (2013)",drama horror thriller year 1993 supernatural horror stationmaster haunted house  
"Adonis Factor, The (2010)",documentary talking about oneself gay reference to the advocate sequel  
Call Me Kuchu (2012),documentary uganda persecution murder homosexuality  
No Man of Her Own (1950) ,drama film-noir nan  
Prinsessa (Starring Maja) (2009),drama f rated  
Miss Kicki (2009),drama beer abroad piano police officer  
Side Effects (2013),crime drama mystery thriller side effect clinical trial depression psychiatrist  
Midnight's Children (2012),drama children india screenplay adapted by author f rated  
Identity Thief (2013),comedy crime credit card odd couple male female friendship impersonator  
Shadow People  (2007),drama infidelity rear entry sex voyeur unhappy marriage  
"ABCs of Death, The (2012)",horror anthology killing an animal animal cruelty male objectification  
21 tapaa pilata avioliitto (2013),comedy romance love marriage f rated thesis  
Rainy Dog (Gokudô kuroshakai) (1997),crime drama part of trilogy second part second part of trilogy taipei taiwan  
Perkele! Kuvia Suomesta (1971),documentary nan  
"Foreigner, The (1978)",drama nan  
Days and Hours (Kod amidze Idriza) (2004),drama nan  
Assault of the Sasquatch (Sasquatch Assault) (2009),action horror poacher bear trap hunter police officer  
Dancing in the Rain (Ples v dezju) (1961),drama nan  
"Rage, The (2007)",horror sci-fi vulture mutation laboratory zombie  
"Bang Bang Club, The (2010)",drama 1990s year 1994 photo journalist south african  
"Gatekeepers, The (2012)",documentary interview jewish terrorism terrorist bombing  
"Glimpse Inside the Mind of Charles Swan III, A (2012)",comedy woman wearing stockings and garter belt x ray glasses girlfriend break up  
Lore (2012),drama thriller war refugee murder of a child nazi survival  
Drogówka (2013),comedy crime drama deception police corruption car  
"Rumble in the Air-Conditioned Auditorium: O'Reilly vs. Stewart 2012, The (2012)",comedy nan  
Sasquatch: The Legend of Bigfoot (1977),adventure mystery nan  
Right America: Feeling Wronged - Some Voices from the Campaign Trail (2009) ,documentary nan  
Game of Death (2010),action adventure thriller bank vault hedge fund manager death in title nurse  
Quackser Fortune Has a Cousin in the Bronx (1970),comedy drama romance nan  
Chinese Zodiac (Armour of God III) (CZ12) (2012),action adventure imax high heels sharp toes camera shot of a woman's feet in high heels woman wearing high heels 3d printer  
Unfinished Song (Song for Marion) (2012),comedy drama romance choir pensioner elderly couple curmudgeon  
Beautiful Creatures (2013),drama fantasy romance male protagonist psychotronic film adolescent abuse  
Living Free (1972),adventure children drama nan  
Ten Tall Men (1951),action adventure comedy war nan  
Knucklehead (2010),comedy drama nun con artist church wrestling  
"Good Day to Die Hard, A (2013)",action crime thriller imax john mcclane character repeat sequel subjective camera central intelligence agency  
I Thank a Fool (1962),drama nan  
Monte Walsh (2003),action adventure western year 1892 revisionist western betrayal by a friend character name as title  
21 and Over (2013),comedy man wearing a sock over the penis talking about sex male wearing bra pubic hair  
Tale of Tales (Skazka skazok) (1979),animation nan  
"House Is Black, The (1963)",documentary leper colony iran leprosy f rated  
Mothlight (1963),documentary nan  
War Witch (Rebelle) (2012),drama war voice over narration abduction 12 year old pregnant mother tells story to unborn child  
"World Before Her, The (2012)",documentary violence f rated religious conflict father daughter relationship  
A.K.A. Don Bonus (1995),documentary diary  
Who Killed Vincent Chin? (1987),crime documentary nan  
Safe Haven (2013),drama mystery romance secret north carolina widower bicycle  
Elles (2011),drama student sex f rated girl in panties  
In the Edges: The 'Grizzly Man' Session (2005) ,documentary nan  
"Last Will of Dr. Mabuse, The (Testament du Dr. Mabuse, Le) (1933)",crime horror mystery nan  
"Blue Angel, The (1930)",drama musical nightclub female corrupts male unrequited love based on novel  
Bronies: The Extremely Unexpected Adult Fans of My Little Pony (2012),documentary crowdfunded fandom my little pony brony  
"Act of Killing, The (2012)",documentary executioner musical number death squad mass killing  
"Match King, The (1932)",drama nan  
"Goddess of 1967, The (2000)",comedy drama romance citroen d s chastity belt abusive parents religious mother  
PressPausePlay (2011),documentary digital culture creativity  
U.S. Seals (2000),action thriller woman with a gun pirate turkey oil rig  
Raid on Rommel (1971),war nan  
"Angel Levine, The (1970)",comedy drama nan  
Universal Soldier: Day of Reckoning (2012),action sci-fi thriller murder of a nude man murder of a nude woman cringe male frontal nudity  
Room 237 (2012),documentary number big wheel television commercial mockumentary  
Arnulf Rainer (1960),documentary experimental film  
"Above the Street, Below the Water (Over gaden under vandet) (2009)",drama title directed by female  
Amazing Johnathan: Wrong on Every Level (2006),comedy tv special  
"Mind Reader, The (1933)",drama romance nan  
Benji (2012) ,documentary nan  
To.get.her (2011),drama mystery thriller f rated raped by stepfather chat room  
Escape from Planet Earth (2013),adventure animation comedy sci-fi psychotronic film alien mission control rescue  
Saving Lincoln (2013),drama assassin storytelling the white house president  
Helicopter String Quartet (1996),documentary concert film  
Salla: Selling the Silence (2010),documentary rural setting politics russia economy  
"Cost of Oil: Voices from the Arctic, The (2009)",documentary nan  
Before Midnight (2013),drama romance hotel hotel room writer dinner  
"Oranges, The (2011)",comedy drama romance thanksgiving restaurant christmas lights christmas carol  
Fake It So Real (2012),documentary nan  
The Reincarnation of Isabel (1973),horror supernatural power psychotronic film giallo sleazy giallo  
Which Way Home (2009),documentary nan  
Heroine (2012),drama nan  
Snitch (2013),action drama thriller drug cartel prison teenage prisoner female district attorney  
Black on White (Mustaa valkoisella) (1968),drama nan  
Sixtynine (69) (1969),drama nan  
Eye In The Sky (Gun chung) (2007),crime thriller undercover police murder master criminal  
TPB AFK: The Pirate Bay Away from Keyboard (2013),documentary nan  
Living in Emergency: Stories of Doctors Without Borders (2008),documentary democratic republic of the congo war zone liberia doctor  
Dark Skies (2013),horror sci-fi thriller alien abduction child's drawing dead bird bird flying into window  
Empty Nest (El nido vacío) (2008),comedy drama husband wife relationship empty nest syndrome three word title  
I Am Jesus (2011),documentary second coming religion reference to jesus christ  
Oh Boy (A Coffee in Berlin) (2012),comedy drama 2010s germany german beverage  
Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei) (2013),adventure comedy fantasy romance imax demon demon hunter buddhism swimming for one's life  
Holy Wars (2010),documentary text based poster muslim christian holy war  
Murder in Greenwich (2002),crime drama mystery murder 1970s mischief night investigation  
Maniac Cop 2 (1990),action horror thriller serial killer cult film returning character killed off surprise ending  
Gunfighter's Moon  (1997),romance western gunfighter pistol fast draw gunfight  
"Movie, A (1958)",documentary nan  
Fantomas (Fantômas - À l'ombre de la guillotine) (1913),crime drama nan  
"Act of Seeing with One's Own Eyes, The (1971) ",documentary autopsy forensics silent wordless  
"Look, Up in the Sky! The Amazing Story of Superman (2006)",documentary superhero comic book dc comics television  
"Aral, Fishing in an Invisible Sea (2004)",documentary nan  
"Suitor, The (Soupirant, Le) (1962)",comedy nan  
Yo Yo (Yoyo) (1965),comedy drama romance nan  
Jack the Giant Slayer (2013),adventure fantasy imax no opening credits fairy tale character name as title jack the giant killer character  
East Meets West (Dung sing sai tsau 2011) (2011),comedy nan  
"Last Exorcism Part II, The (2013)",horror thriller looking at oneself in a mirror woman in a bathtub supernatural power psychotronic film  
Lenny Bruce: Swear to Tell the Truth (1998),documentary actor name in title lenny bruce character seven word title actor  
Verboten! (1959),action romance war nan  
"Solitude of Prime Numbers, The (2010)",drama friend vomiting female stockinged legs lost in fog  
Wadjda (2012),drama title directed by female feminist film character name as title triple f rated  
"Unintentional Kidnapping of Mrs. Elfriede Ott, The (Die Unabsichtliche Entführung der Frau Elfriede Ott) (2010)",comedy sex in backseat of car sex in the workplace foam bath money  
"Legend of Sleepy Hollow, The (1949)",animation comedy horror musical nan  
G.I. Joe: Retaliation (2013),action adventure sci-fi thriller imax gi joe ninja martial arts ensemble cast  
Kiss Me (Kyss Mig) (2011),drama romance lesbian sex sexy legs legs lesbian romance  
My Name is Juani (Yo soy la Juani) (2006),comedy drama male nudity thong sms female nudity  
Stoker (2013),drama mystery thriller dead body in a freezer playing piano dead body nude drawing  
Phantom (2013),thriller submarine launch code diesel electric submarine spetsnaz  
"Grand Amour, Le (1969)",comedy romance nan  
Sound City (2013),documentary nan  
Oz the Great and Powerful (2013),action adventure fantasy imax camera focus on female butt year 1905 glinda the good character 3 dimensional  
Satan's Blood (Escalofrío) (1978),horror nan  
Tripping the Rift: The Movie (2008),animation comedy sci-fi space opera canadian science fiction colon in title five word title  
Fog City Mavericks (2007),documentary nan  
Dead Man Down (2013),action crime drama romance thriller suspense crime lord new york city dead body  
"Croods, The (2013)",adventure animation comedy caveman journey cave survival  
This Movie Is Broken (2010),drama romance year 2009 girl in bra and panties concert drinking  
Life 2.0 (2010),documentary virtual world second life linden lab's second life cyberspace  
Sons of Perdition (2010),documentary drunk scream hair dye physical abuse  
Last Call at the Oasis (2011),documentary nan  
Wieners (2008),comedy breasts female nudity female frontal nudity road trip  
"Borrowers, The (2011)",adventure children fantasy the borrowers discovery friendship grandma  
First Person Plural (2000),documentary f rated korea interracial adoption foreign adoption  
First Target (2000),action the white house president die hard scenario violence  
Age of the Dragons (2011),action adventure fantasy downward spiral dragon revenge harpooner  
